GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
diaballik-backend,diaballik.GameElements,Do,0,3,0,0,0,1,0,1,0,1
diaballik-backend,diaballik.GameElements,GameBoard,0,552,4,52,0,98,4,45,0,21
diaballik-backend,diaballik.GameElements,Pawn,0,39,0,2,0,15,0,7,0,6
diaballik-backend,diaballik.resource,Parser,8,0,0,0,1,0,1,0,1,0
diaballik-backend,diaballik.resource,MyExceptionMapper,16,0,2,0,5,0,3,0,2,0
diaballik-backend,diaballik.resource,GameResource,196,0,2,0,43,0,10,0,9,0
diaballik-backend,diaballik.Players.Algorithms,StartingAlgo,179,57,4,0,24,11,7,2,5,2
diaballik-backend,diaballik.Players.Algorithms,NoobAlgo,17,4,0,0,3,2,1,1,1,1
diaballik-backend,diaballik.Players.Algorithms,Algo,152,9,10,0,32,4,15,1,10,1
diaballik-backend,diaballik.Players.Algorithms,EAiType,0,34,0,0,0,2,0,1,0,1
diaballik-backend,diaballik,Main,62,0,0,0,15,0,2,0,2,0
diaballik-backend,diaballik.Players,Player,15,65,2,6,3,20,5,10,3,8
diaballik-backend,diaballik.Players,HumanPlayer,4,10,0,0,2,3,1,1,1,1
diaballik-backend,diaballik.Players,PlayerFactory,26,40,9,3,17,12,9,4,0,3
diaballik-backend,diaballik.Players,AiPlayer,75,69,9,8,16,17,13,4,5,3
diaballik-backend,diaballik.Coordinates,Coordinate,21,124,1,15,4,24,2,19,1,12
diaballik-backend,diaballik.Coordinates,ActionCoord,25,54,5,5,4,15,7,5,2,5
diaballik-backend,diaballik.Supervisors,Game,236,0,22,0,53,0,26,0,15,0
